TLD,Server,Exclude
com,whois.verisign-grs.com,0
net,whois.verisign-grs.com,0
org,whois.pir.org,0
xyz,whois.nic.xyz,0
info,whois.afilias.net,0
top,whois.nic.top,0
biz,whois.biz,0
wang,whois.gtld.knet.cn,0
win,whois.nic.win,0
club,whois.nic.club,0
mobi,whois.dotmobiregistry.net,0
site,whois.centralnic.com,0
bid,whois.nic.bid,0
vip,whois-dub.mm-registry.com,0
online,whois.centralnic.com,0
pro,whois.afilias.net,0
link,whois.uniregistry.net,0
ren,whois.nic.ren,0
red,whois.afilias.net,0
网址,whois.registry.knet.cn,0
loan,whois.nic.loan,0
science,whois.nic.science,0
tech,whois.nic.tech,0
website,whois.nic.website,0
space,whois.nic.space,0
date,whois.nic.date,0
racing,whois.nic.racing,0
click,whois.uniregistry.net,0
kim,whois.afilias.net,0
xin,whois.afilias-srs.net,0
trade,whois.nic.trade,0
cat,whois.cat,0
xxx,whois.nic.xxx,0
work,whois-dub.mm-registry.com,0
download,whois.nic.download,0
nyc,whois.nic.nyc,0
news,whois.rightside.co,0
lol,whois.uniregistry.net,0
信息,whois.ngtld.cn,0
realtor,whois.nic.realtor,0
cloud,whois.nic.cloud,0
rocks,whois.unitedtld.com,0
review,whois.nic.review,0
live,whois.rightside.co,0
one,whois.nic.one,0
london,whois-lon.mm-registry.com,0
pub,whois.unitedtld.com,0
party,whois.nic.party,0
guru,whois.donuts.co,0
berlin,whois.nic.berlin,0
store,whois.nic.store,0
email,whois.donuts.co,0
ovh,whois-ovh.nic.fr,0
today,whois.donuts.co,0
accountant,whois.nic.accountant,0
solutions,whois.donuts.co,0
mom,whois.uniregistry.net,0
faith,whois.nic.faith,0
photography,whois.donuts.co,0
tokyo,whois.nic.tokyo,0
design,whois.nic.design,0
company,whois.donuts.co,0
公司,whois.ngtld.cn,0
jobs,jobswhois.verisign-grs.com,0
shop,whois.nic.shop,0
life,whois.donuts.co,0
blue,whois.afilias.net,0
press,whois.nic.press,0
pink,whois.afilias.net,0
help,whois.uniregistry.net,0
ninja,whois.unitedtld.com,0
webcam,whois.nic.webcam,0
tips,whois.donuts.co,0
world,whois.donuts.co,0
bayern,whois-dub.mm-registry.com,0
center,whois.donuts.co,0
city,whois.donuts.co,0
host,whois.nic.host,0
ltd,whois.donuts.co,0
网络,whois.ngtld.cn,0
手机,whois.afilias-srs.net,0
media,whois.donuts.co,0
agency,whois.donuts.co,0
expert,whois.donuts.co,0
bet,whois.afilias.net,0
global,whois.nic.global,0
photo,whois.uniregistry.net,0
technology,whois.donuts.co,0
amsterdam,whois.nic.amsterdam,0
hamburg,whois.nic.hamburg,0
koeln,whois-fe1.pdt.koeln.tango.knipp.de,0
ink,whois.nic.ink,0
cricket,whois.nic.cricket,0
我爱你,whois.gtld.knet.cn,0
services,whois.donuts.co,0
black,whois.afilias.net,0
gift,whois.uniregistry.net,0
men,whois.nic.men,0
paris,whois-paris.nic.fr,0
academy,whois.donuts.co,0
international,whois.donuts.co,0
systems,whois.donuts.co,0
uno,whois.nic.uno,0
education,whois.donuts.co,0
photos,whois.donuts.co,0
love,whois.nic.love,0
moscow,whois.nic.moscow,0
consulting,whois.unitedtld.com,0
casa,whois-dub.mm-registry.com,0
events,whois.donuts.co,0
wiki,whois.nic.wiki,0
travel,whois.nic.travel,0
sexy,whois.uniregistry.net,0
gallery,whois.donuts.co,0
digital,whois.donuts.co,0
support,whois.donuts.co,0
network,whois.donuts.co,0
directory,whois.donuts.co,0
run,whois.donuts.co,0
training,whois.donuts.co,0
social,whois.unitedtld.com,0
video,whois.rightside.co,0
studio,whois.rightside.co,0
zone,whois.donuts.co,0
swiss,whois.nic.swiss,0
istanbul,whois.afilias-srs.net,0
reviews,whois.unitedtld.com,0
marketing,whois.donuts.co,0
miami,whois-dub.mm-registry.com,0
church,whois.donuts.co,0
stream,whois.nic.stream,0
москва,whois.nic.xn--80adxhks,0
pics,whois.uniregistry.net,0
bio,whois.ksregistry.net,0
在线,whois.afilias-srs.net,0
wien,whois.nic.wien,0
house,whois.donuts.co,0
ruhr,whois.nic.ruhr,0
コム,whois.nic.xn--tckwe,0
bike,whois.donuts.co,0
land,whois.donuts.co,0
frl,whois.nic.frl,0
guide,whois.donuts.co,0
vegas,whois.afilias-srs.net,0
clothing,whois.donuts.co,0
lawyer,whois.rightside.co,0
care,whois.donuts.co,0
ooo,whois.nic.ooo,0
sex,whois.afilias-srs.net,0
business,whois.donuts.co,0
中文网,whois.afilias-srs.net,0
gmbh,whois.donuts.co,0
porn,whois.afilias-srs.net,0
ist,whois.afilias-srs.net,0
商城,whois.gtld.knet.cn,0
immo,whois.donuts.co,0
property,whois.uniregistry.net,0
cool,whois.donuts.co,0
wales,whois.nic.wales,0
рус,whois.nic.xn--p1acf,0
coffee,whois.donuts.co,0
scot,whois.scot.coreregistry.net,0
wine,whois.donuts.co,0
sale,whois.rightside.co,0
beer,whois-dub.mm-registry.com,0
family,whois.rightside.co,0
properties,whois.donuts.co,0
works,whois.donuts.co,0
market,whois.rightside.co,0
rentals,whois.donuts.co,0
software,whois.rightside.co,0
kiwi,whois.nic.kiwi,0
nrw,whois.nic.nrw,0
community,whois.donuts.co,0
management,whois.donuts.co,0
farm,whois.donuts.co,0
adult,whois.afilias-srs.net,0
estate,whois.donuts.co,0
direct,whois.donuts.co,0
buzz,whois.nic.buzz,0
pet,whois.afilias.net,0
melbourne,whois.aridnrs.net.au,0
gold,whois.donuts.co,0
quebec,whois.nic.quebec,0
kaufen,whois.unitedtld.com,0
legal,whois.donuts.co,0
band,whois.rightside.co,0
chat,whois.donuts.co,0
group,whois.donuts.co,0
移动,whois.afilias.net,0
attorney,whois.rightside.co,0
sydney,whois.nic.sydney,0
fit,whois-dub.mm-registry.com,0
fund,whois.donuts.co,0
team,whois.donuts.co,0
fitness,whois.donuts.co,0
institute,whois.donuts.co,0
fashion,whois-dub.mm-registry.com,0
school,whois.donuts.co,0
deals,whois.donuts.co,0
boutique,whois.donuts.co,0
rent,whois.nic.rent,0
coop,whois.nic.coop,0
audio,whois.uniregistry.net,0
wtf,whois.donuts.co,0
ventures,whois.donuts.co,0
healthcare,whois.donuts.co,0
graphics,whois.donuts.co,0
tools,whois.donuts.co,0
cafe,whois.donuts.co,0
immobilien,whois.unitedtld.com,0
fyi,whois.donuts.co,0
sucks,whois.nic.sucks,0
coach,whois.donuts.co,0
foundation,whois.donuts.co,0
dog,whois.donuts.co,0
닷컴,whois.nic.xn--mk1bu44c,0
pictures,whois.donuts.co,0
careers,whois.donuts.co,0
wedding,whois-dub.mm-registry.com,0
dental,whois.donuts.co,0
domains,whois.donuts.co,0
yoga,whois-dub.mm-registry.com,0
solar,whois.donuts.co,0
brussels,whois.nic.brussels,0
construction,whois.donuts.co,0
equipment,whois.donuts.co,0
menu,whois.nic.menu,0
jetzt,whois.nic.jetzt,0
bzh,whois-bzh.nic.fr,0
cymru,whois.nic.cymru,0
vlaanderen,whois.nic.vlaanderen,0
forsale,whois.unitedtld.com,0
ski,whois.ksregistry.net,0
vin,whois.donuts.co,0
law,whois-dub.mm-registry.com,0
lighting,whois.donuts.co,0
repair,whois.donuts.co,0
plus,whois.donuts.co,0
kitchen,whois.donuts.co,0
restaurant,whois.donuts.co,0
money,whois.donuts.co,0
camp,whois.donuts.co,0
barcelona,whois.nic.barcelona,0
cash,whois.donuts.co,0
eus,whois.eus.coreregistry.net,0
clinic,whois.donuts.co,0
vet,whois.rightside.co,0
shoes,whois.donuts.co,0
style,whois.donuts.co,0
golf,whois.donuts.co,0
games,whois.rightside.co,0
college,whois.nic.college,0
moe,whois.nic.moe,0
capital,whois.donuts.co,0
cards,whois.donuts.co,0
hosting,whois.uniregistry.net,0
cologne,whois-fe1.pdt.cologne.tango.knipp.de,0
watch,whois.donuts.co,0
enterprises,whois.donuts.co,0
parts,whois.donuts.co,0
camera,whois.donuts.co,0
tours,whois.donuts.co,0
dance,whois.unitedtld.com,0
productions,whois.donuts.co,0
taxi,whois.donuts.co,0
codes,whois.donuts.co,0
holiday,whois.donuts.co,0
earth,whois.nic.earth,0
vision,whois.donuts.co,0
bar,whois.nic.bar,0
finance,whois.donuts.co,0
report,whois.donuts.co,0
energy,whois.donuts.co,0
holdings,whois.donuts.co,0
tax,whois.donuts.co,0
partners,whois.donuts.co,0
reisen,whois.donuts.co,0
university,whois.donuts.co,0
computer,whois.donuts.co,0
exchange,whois.donuts.co,0
capetown,capetown-whois.registry.net.za,0
tirol,whois.nic.tirol,0
limited,whois.donuts.co,0
网店,whois.nic.xn--hxt814e,0
onl,whois.afilias-srs.net,0
kred,whois.nic.kred,0
singles,whois.donuts.co,0
discount,whois.donuts.co,0
haus,whois.unitedtld.com,0
contractors,whois.donuts.co,0
show,whois.donuts.co,0
football,whois.donuts.co,0
vacations,whois.donuts.co,0
nagoya,whois.nic.nagoya,0
toys,whois.donuts.co,0
pizza,whois.donuts.co,0
poker,whois.afilias.net,0
insure,whois.donuts.co,0
build,whois.nic.build,0
gratis,whois.donuts.co,0
cab,whois.donuts.co,0
engineering,whois.donuts.co,0
builders,whois.donuts.co,0
express,whois.donuts.co,0
place,whois.donuts.co,0
plumbing,whois.donuts.co,0
saarland,whois.ksregistry.net,0
diet,whois.uniregistry.net,0
fish,whois.donuts.co,0
supply,whois.donuts.co,0
archi,whois.ksregistry.net,0
joburg,joburg-whois.registry.net.za,0
gifts,whois.donuts.co,0
ngo,whois.publicinterestregistry.net,0
ong,whois.publicinterestregistry.net,0
glass,whois.donuts.co,0
degree,whois.rightside.co,0
yokohama,whois.nic.yokohama,0
gal,whois.gal.coreregistry.net,0
financial,whois.donuts.co,0
gent,whois.nic.gent,0
catering,whois.donuts.co,0
rip,whois.rightside.co,0
casino,whois.donuts.co,0
green,whois.afilias.net,0
recipes,whois.donuts.co,0
futbol,whois.unitedtld.com,0
apartments,whois.donuts.co,0
cheap,whois.donuts.co,0
supplies,whois.donuts.co,0
auction,whois.unitedtld.com,0
feedback,whois.nic.feedback,0
industries,whois.donuts.co,0
loans,whois.donuts.co,0
bank,whois.nic.bank,0
dentist,whois.rightside.co,0
srl,whois.afilias-srs.net,0
diamonds,whois.donuts.co,0
okinawa,whois.nic.okinawa,0
promo,whois.afilias.net,0
best,whois.nic.best,0
investments,whois.donuts.co,0
taipei,whois.nic.taipei,0
voyage,whois.donuts.co,0
dating,whois.donuts.co,0
town,whois.donuts.co,0
lgbt,whois.afilias.net,0
mortgage,whois.rightside.co,0
surf,whois-dub.mm-registry.com,0
delivery,whois.donuts.co,0
mba,whois.donuts.co,0
limo,whois.donuts.co,0
horse,whois-dub.mm-registry.com,0
ceo,whois.nic.ceo,0
florist,whois.donuts.co,0
tienda,whois.donuts.co,0
fail,whois.donuts.co,0
exposed,whois.donuts.co,0
moda,whois.unitedtld.com,0
soccer,whois.donuts.co,0
durban,durban-whois.registry.net.za,0
tattoo,whois.uniregistry.net,0
cleaning,whois.donuts.co,0
film,whois.nic.film,0
how,domain-registry-whois.l.google.com,0
christmas,whois.uniregistry.net,0
engineer,whois.rightside.co,0
jewelry,whois.donuts.co,0
associates,whois.donuts.co,0
bargains,whois.donuts.co,0
credit,whois.donuts.co,0
versicherung,whois.nic.versicherung,0
furniture,whois.donuts.co,0
онлайн,whois.online.rs.corenic.net,0
condos,whois.donuts.co,0
desi,whois.ksregistry.net,0
lat,whois.nic.lat,0
cruises,whois.donuts.co,0
game,whois.uniregistry.net,0
닷넷,whois.nic.xn--t60b56a,0
schule,whois.donuts.co,0
surgery,whois.donuts.co,0
cooking,whois-dub.mm-registry.com,0
irish,whois.afilias-srs.net,0
gop,whois-cl01.mm-registry.com,0
alsace,whois-alsace.nic.fr,0
vodka,whois-dub.mm-registry.com,0
garden,whois-dub.mm-registry.com,0
flights,whois.donuts.co,0
villas,whois.donuts.co,0
fishing,whois-dub.mm-registry.com,0
blackfriday,whois.uniregistry.net,0
vote,whois.afilias.net,0
flowers,whois.uniregistry.net,0
mma,whois-mma.nic.fr,0
coupons,whois.donuts.co,0
rehab,whois.rightside.co,0
actor,whois.unitedtld.com,0
soy,domain-registry-whois.l.google.com,0
hiphop,whois.uniregistry.net,0
guitars,whois.uniregistry.net,0
みんな,domain-registry-whois.l.google.com,0
lease,whois.donuts.co,0
courses,whois.aridnrs.net.au,0
claims,whois.donuts.co,0
country,whois-dub.mm-registry.com,0
rest,whois.nic.rest,0
rio,whois.gtlds.nic.br,0
орг,whois.publicinterestregistry.net,0
fans,whois.nic.fans,0
tennis,whois.donuts.co,0
tube,whois.nic.tube,0
accountants,whois.donuts.co,0
army,whois.rightside.co,0
reise,whois.nic.reise,0
hockey,whois.donuts.co,0
viajes,whois.donuts.co,0
museum,whois.museum,0
physio,whois.nic.physio,0
movie,whois.donuts.co,0
career,whois.nic.career,0
дети,whois.nic.xn--d1acj3b,0
maison,whois.donuts.co,0
juegos,whois.uniregistry.net,0
gives,whois.rightside.co,0
сайт,whois.site.rs.corenic.net,0
gripe,whois.donuts.co,0
bingo,whois.donuts.co,0
集团,whois.gtld.knet.cn,0
tickets,whois.nic.tickets,0
theater,whois.donuts.co,0
luxury,whois.nic.luxury,0
study,whois.nic.study,0
voting,whois.voting.tld-box.at,0
sarl,whois.donuts.co,0
tatar,whois.nic.tatar,0
democrat,whois.unitedtld.com,0
rodeo,whois-dub.mm-registry.com,0
salon,whois.nic.salon,0
republican,whois.rightside.co,0
corsica,whois-corsica.nic.fr,0
creditcard,whois.donuts.co,0
shiksha,whois.afilias.net,0
tires,whois.donuts.co,0
navy,whois.rightside.co,0
shopping,whois.donuts.co,0
osaka,whois.nic.osaka,0
neustar,whois.nic.neustar,0
qpon,whois.nic.qpon,0
ryukyu,whois.nic.ryukyu,0
organic,whois.afilias.net,0
kyoto,whois.nic.kyoto,0
memorial,whois.donuts.co,0
bible,whois.nic.bible,0
auto,whois.uniregistry.net,0
car,whois.uniregistry.net,0
ltda,whois.afilias-srs.net,0
markets,whois.nic.markets,0
hiv,whois.afilias-srs.net,0
airforce,whois.unitedtld.com,0
cars,whois.uniregistry.net,0
krd,whois.aridnrs.net.au,0
trading,whois.nic.trading,0
voto,whois.afilias.net,0
机构,whois.publicinterestregistry.net,0
security,whois.nic.security,0
abogado,whois-dub.mm-registry.com,0
hoteles,whois.nic.hoteles,0
中信,whois.gtld.knet.cn,0
storage,whois.afilias-srs.net,0
homes,whois.afilias-srs.net,0
boats,whois.afilias-srs.net,0
reit,whois.nic.reit,0
broker,whois.nic.broker,0
theatre,whois.nic.theatre,0
nra,whois.afilias-srs.net,0
pharmacy,whois.nic.pharmacy,0
citic,whois.nic.citic,0
insurance,whois.nic.insurance,0
yachts,whois.afilias-srs.net,0
广东,whois.ngtld.cn,0
佛山,whois.ngtld.cn,0
bradesco,whois-cl01.mm-registry.com,0
संगठन,whois.publicinterestregistry.net,0
wed,whois.nic.wed,0
protection,whois.nic.protection,0
seat,whois.nic.seat,0
weir,whois.nic.weir,0
barclays,whois.nic.barclays,0
abbott,whois.afilias-srs.net,0
moi,whois.nic.moi,0
cancerresearch,whois.nic.cancerresearch,0
cam,whois.ksregistry.net,0
leclerc,whois-leclerc.nic.fr,0
lotto,whois.afilias.net,0
bloomberg,whois.nic.bloomberg,0
rich,whois.afilias-srs.net,0
whoswho,whois.nic.whoswho,0
fage,whois.afilias-srs.net,0
forex,whois.nic.forex,0
globo,whois.gtlds.nic.br,0
linde,whois.nic.linde,0
motorcycles,whois.afilias-srs.net,0
trust,whois.nic.trust,0
autos,whois.afilias-srs.net,0
八卦,whois.nic.xn--45q11c,0
makeup,whois.nic.makeup,0
man,whois.nic.man,0
firmdale,whois.nic.firmdale,0
pictet,whois.nic.pictet,0
sky,whois.nic.sky,0
uol,whois.gtlds.nic.br,0
sener,whois.nic.sener,0
microsoft,whois.nic.microsoft,0
audi,whois.afilias-srs.net,0
blog,whois.nic.blog,0
mango,whois.mango.coreregistry.net,0
shriram,whois.afilias-srs.net,0
csc,whois.nic.csc,0
mini,whois.ksregistry.net,0
abb,whois.nic.abb,0
monash,whois.nic.monash,0
aco,whois.afilias-srs.net,0
bentley,whois.nic.bentley,0
aig,whois.nic.aig,0
saxo,whois.aridnrs.net.au,0
windows,whois.nic.windows,0
xbox,whois.nic.xbox,0
orange,whois.nic.orange,0
arte,whois.nic.arte,0
bbva,whois.nic.bbva,0
cba,whois.nic.cba,0
cern,whois.afilias-srs.net,0
cisco,whois.nic.cisco,0
dvag,whois.ksregistry.net,0
bing,whois.nic.bing,0
shell,whois.nic.shell,0
chanel,whois.nic.chanel,0
foo,domain-registry-whois.l.google.com,0
philips,whois.nic.philips,0
tatamotors,whois.nic.tatamotors,0
clubmed,whois.nic.clubmed,0
yandex,whois.nic.yandex,0
axa,whois.nic.axa,0
maif,whois.nic.maif,0
oracle,whois.nic.oracle,0
stada,whois.afilias-srs.net,0
swatch,whois.nic.swatch,0
aeg,whois.nic.aeg,0
bmw,whois.ksregistry.net,0
genting,whois.nic.genting,0
ubs,whois.nic.ubs,0
xperia,whois.nic.xperia,0
aquarelle,whois-aquarelle.nic.fr,0
landrover,whois.nic.landrover,0
rwe,whois.nic.rwe,0
sbs,whois.nic.sbs,0
symantec,whois.nic.symantec,0
嘉里大酒店,whois.nic.xn--w4r85el8fhu5dnra,0
kerryhotels,whois.nic.kerryhotels,0
airbus,whois.nic.airbus,0
nextdirect,whois.nic.nextdirect,0
bms,whois.nic.bms,0
java,whois.nic.java,0
jprs,whois.nic.jprs,0
lupin,whois.nic.lupin,0
sanofi,whois.nic.sanofi,0
jaguar,whois.nic.jaguar,0
lipsy,whois.nic.lipsy,0
next,whois.nic.next,0
accenture,whois.nic.accenture,0
azure,whois.nic.azure,0
barclaycard,whois.nic.barclaycard,0
hotmail,whois.nic.hotmail,0
praxi,whois.nic.praxi,0
sca,whois.nic.sca,0
scb,whois.nic.scb,0
schwarz,whois.nic.schwarz,0
statoil,whois.nic.statoil,0
toray,whois.nic.toray,0
kpn,whois.nic.kpn,0
afl,whois.nic.afl,0
google,domain-registry-whois.l.google.com,0
liaison,whois.nic.liaison,0
williamhill,whois.nic.williamhill,0
weber,whois.nic.weber,0
nikon,whois.nic.nikon,0
nissay,whois.nic.nissay,0
warman,whois.nic.warman,0
lego,whois.nic.lego,0
ericsson,whois.nic.ericsson,0
otsuka,whois.nic.otsuka,0
realty,whois.nic.realty,0
guardian,whois.nic.guardian,0
goog,domain-registry-whois.l.google.com,0
omega,whois.nic.omega,0
网站,whois.afilias-srs.net,0
norton,whois.nic.norton,0
fox,whois.nic.fox,0
deloitte,whois.nic.deloitte,0
cfa,whois.nic.cfa,0
crs,whois.nic.crs,0
forum,whois.nic.forum,0
ice,whois.nic.ice,0
nadex,whois.nic.nadex,0
aarp,whois.nic.aarp,0
lamborghini,whois.afilias-srs.net,0
blanco,whois.nic.blanco,0
walter,whois.nic.walter,0
active,whois.afilias-srs.net,0
crown,whois.nic.crown,0
dabur,whois.afilias-srs.net,0
emerck,whois.afilias-srs.net,0
gmo,whois.nic.gmo,0
jcb,whois.nic.gmo,0
lidl,whois.nic.lidl,0
redstone,whois.afilias-srs.net,0
sandvik,whois.nic.sandvik,0
飞利浦,whois.nic.xn--kcrx77d1x4a,0
med,whois.nic.med,0
skin,whois.nic.skin,0
dnp,whois.nic.dnp,0
lancaster,whois-lancaster.nic.fr,0
nico,whois.nic.nico,0
obi,whois.nic.obi,0
samsung,whois.nic.samsung,0
sew,whois.afilias-srs.net,0
spreadbetting,whois.nic.spreadbetting,0
慈善,whois.nic.wang,0
新闻,whois.nic.xn--efvy88h,0
cfd,whois.nic.cfd,0
komatsu,whois.nic.komatsu,0
ntt,whois.nic.ntt,0
sap,whois.nic.sap,0
삼성,whois.kr,0
ally,whois.afilias-srs.net,0
brother,whois.nic.brother,0
fan,whois.nic.fan,0
frogans,whois-frogans.nic.fr,0
latrobe,whois.nic.latrobe,0
mtn,whois.nic.mtn,0
sandvikcoromant,whois.nic.sandvikcoromant,0
skype,whois.nic.skype,0
sony,whois.nic.sony,0
seven,whois.nic.seven,0
sohu,whois.nic.sohu,0
sfr,whois.nic.sfr,0
bridgestone,whois.nic.bridgestone,0
eurovision,whois.nic.eurovision,0
everbank,whois.nic.everbank,0
hitachi,whois.nic.gmo,0
jll,whois.afilias-srs.net,0
marriott,whois.afilias-srs.net,0
suzuki,whois.nic.suzuki,0
toyota,whois.nic.toyota,0
vistaprint,whois.nic.vistaprint,0
wme,whois.nic.wme,0
erni,whois.nic.erni,0
ferrero,whois.nic.ferrero,0
dell,whois.nic.dell,0
volkswagen,whois.nic.volkswagen,0
extraspace,whois.afilias-srs.net,0
canon,whois.nic.canon,0
here,domain-registry-whois.l.google.com,0
nec,whois.nic.nec,0
nokia,whois.afilias-srs.net,0
page,domain-registry-whois.l.google.com,0
ricoh,whois.nic.ricoh,0
schmidt,whois.nic.schmidt,0
sncf,whois-sncf.nic.fr,0
stc,whois.centralnic.com,0
mtr,whois.nic.mtr,0
amica,whois.nic.amica,0
